Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Nick Madrigal,CHW,54,215,2,30,21,1,5.1%,7.9%,0.120,0.324,0.305,0.349,0.425,0.335,0.286,113,1.2,4.7,1.3,1.3,20521
Ian Happ,CHC,148,535,25,63,66,9,11.6%,29.2%,0.209,0.281,0.226,0.323,0.434,0.328,0.317,103,0.2,2.4,-6.8,1.3,17919
Brian Anderson,MIA,67,264,7,24,28,5,9.8%,24.6%,0.129,0.317,0.249,0.337,0.378,0.314,0.297,99,0.4,0.2,3.7,1.3,18289
Wilmer Flores,SFG,139,436,18,57,53,1,9.4%,12.8%,0.185,0.264,0.262,0.335,0.447,0.337,0.311,113,-4.0,3.4,-5.3,1.2,5827
Jesus Aguilar,MIA,131,510,22,49,93,0,9.0%,18.2%,0.198,0.279,0.261,0.329,0.459,0.334,0.329,112,-3.4,4.4,-8.9,1.2,11342
Abraham Toro,- - -,95,375,11,45,46,6,8.3%,14.4%,0.134,0.254,0.239,0.315,0.373,0.303,0.318,95,-0.1,-2.5,2.0,1.2,19844
Andrew McCutchen,PHI,144,574,27,78,80,6,14.1%,23.0%,0.222,0.242,0.222,0.334,0.444,0.335,0.341,107,1.5,6.8,-13.6,1.2,9847
Tucker Barnhart,CIN,116,388,7,41,48,0,7.5%,25.8%,0.121,0.324,0.247,0.317,0.368,0.300,0.264,81,-0.1,-9.4,8.6,1.2,10200
Christian Arroyo,BOS,57,181,6,22,25,1,4.4%,24.3%,0.183,0.325,0.262,0.324,0.445,0.332,0.298,106,1.5,2.9,2.8,1.2,16434
Ben Gamel,- - -,122,400,8,43,26,3,12.8%,26.3%,0.141,0.329,0.247,0.347,0.388,0.322,0.314,101,-0.5,0.2,-1.6,1.2,12160
Adam Engel,CHW,39,140,7,21,18,7,7.9%,22.1%,0.244,0.279,0.252,0.336,0.496,0.354,0.339,127,1.0,5.5,1.5,1.2,15082
Nick Solak,TEX,127,511,11,57,49,7,6.7%,20.9%,0.120,0.292,0.242,0.314,0.362,0.299,0.294,89,0.4,-6.3,0.1,1.1,19294
Donovan Solano,SFG,101,344,7,35,31,2,7.3%,16.9%,0.124,0.321,0.280,0.344,0.404,0.324,0.334,105,-0.2,2.0,-2.3,1.1,8623
Garrett Cooper,MIA,71,250,9,30,33,1,12.0%,27.2%,0.181,0.374,0.284,0.380,0.465,0.367,0.360,134,-4.0,6.7,-4.1,1.1,15279
David Peralta,ARI,150,538,8,57,63,2,8.6%,17.1%,0.144,0.303,0.259,0.325,0.402,0.314,0.291,93,2.0,-2.5,-4.4,1.1,2136
Jason Castro,HOU,66,179,8,22,21,0,14.0%,30.2%,0.208,0.310,0.235,0.356,0.443,0.347,0.372,123,-1.0,4.1,0.5,1.1,8722
Jake Meyers,HOU,49,163,6,22,28,3,6.1%,30.7%,0.178,0.352,0.260,0.323,0.438,0.328,0.317,111,1.9,4.0,1.1,1.1,20308
Elvis Andrus,OAK,146,541,3,60,37,12,5.7%,15.0%,0.076,0.283,0.243,0.294,0.320,0.270,0.307,72,4.5,-13.8,6.0,1.1,8709
Odubel Herrera,PHI,124,492,13,59,51,6,5.9%,15.7%,0.156,0.285,0.260,0.310,0.416,0.312,0.300,93,0.3,-4.2,-1.5,1.1,11476
Seth Brown,OAK,111,307,20,43,48,4,7.5%,29.0%,0.267,0.230,0.214,0.274,0.480,0.315,0.316,103,0.0,1.0,-0.9,1.1,18171
Jonah Heim,TEX,82,285,10,22,32,3,5.3%,20.4%,0.162,0.210,0.196,0.239,0.358,0.256,0.284,60,-0.9,-14.7,15.6,1.1,16930
Bradley Zimmer,CLE,99,348,8,44,35,15,8.6%,35.1%,0.117,0.347,0.227,0.325,0.344,0.300,0.313,89,2.0,-2.8,1.5,1.1,16221
Jose Iglesias,- - -,137,511,9,65,48,5,4.1%,14.7%,0.120,0.305,0.271,0.309,0.391,0.304,0.296,91,-0.2,-6.1,-0.9,1.0,10231
Eric Haase,DET,98,381,22,48,61,2,6.8%,31.2%,0.228,0.278,0.231,0.286,0.459,0.316,0.319,100,-0.7,-0.8,-1.8,1.0,14111
Andy Ibanez,TEX,76,272,7,31,25,0,5.5%,12.9%,0.158,0.297,0.277,0.321,0.435,0.325,0.315,107,-0.8,1.4,-0.4,1.0,18819
Gavin Lux,LAD,102,381,7,49,46,4,10.8%,21.8%,0.122,0.300,0.242,0.328,0.364,0.303,0.322,91,3.8,-0.6,-1.8,1.0,19955
Jake Rogers,DET,38,127,6,17,17,1,8.7%,36.2%,0.257,0.344,0.239,0.306,0.496,0.339,0.297,115,1.0,3.3,2.4,1.0,19452
Brad Miller,PHI,140,377,20,53,49,3,11.9%,29.7%,0.227,0.276,0.227,0.321,0.453,0.331,0.342,105,0.6,3.1,-5.5,1.0,12775
Yadier Molina,STL,121,473,11,45,66,3,5.1%,16.7%,0.118,0.283,0.252,0.297,0.370,0.290,0.302,83,-5.3,-15.4,9.6,1.0,7007
Gio Urshela,NYY,116,442,14,42,49,1,4.5%,24.7%,0.152,0.329,0.267,0.301,0.419,0.309,0.303,96,-6.0,-8.2,3.0,1.0,10681
Tom Murphy,SEA,97,325,11,35,34,0,12.3%,30.5%,0.148,0.265,0.202,0.304,0.350,0.291,0.289,87,-0.3,-5.3,3.9,1.0,13499
Brandon Marsh,LAA,70,260,2,27,19,6,7.7%,35.0%,0.102,0.403,0.254,0.317,0.356,0.296,0.321,86,3.5,-1.0,1.8,1.0,20202
Austin Nola,SDP,56,194,2,15,29,0,7.2%,9.8%,0.104,0.292,0.272,0.340,0.376,0.316,0.302,100,0.2,0.1,3.0,1.0,15941
Tyler Wade,NYY,103,145,0,31,5,17,11.0%,25.5%,0.055,0.378,0.268,0.354,0.323,0.304,0.247,92,2.8,1.5,2.8,0.9,15730
Aledmys Diaz,HOU,84,319,8,28,45,0,5.0%,19.4%,0.146,0.304,0.259,0.317,0.405,0.311,0.317,99,-2.8,-3.3,1.5,0.9,15937
Ji-Man Choi,TBR,83,305,11,36,45,0,14.8%,28.5%,0.182,0.300,0.229,0.348,0.411,0.334,0.343,117,-0.9,5.6,-6.9,0.9,5452
Eddie Rosario,- - -,111,412,14,42,62,11,6.3%,14.8%,0.177,0.273,0.259,0.305,0.435,0.316,0.314,98,1.1,0.2,-5.1,0.9,12155
Tomas Nido,NYM,58,161,3,16,13,1,3.1%,27.3%,0.105,0.292,0.222,0.261,0.327,0.254,0.292,63,-2.1,-9.8,13.2,0.9,13755
Jed Lowrie,OAK,139,512,14,55,69,0,9.6%,21.1%,0.153,0.289,0.245,0.318,0.398,0.311,0.339,100,-1.6,-1.4,-7.5,0.9,4418
Jace Peterson,MIL,94,302,6,36,31,10,12.6%,22.5%,0.120,0.310,0.247,0.348,0.367,0.318,0.318,97,4.3,3.0,-4.5,0.9,12325
Thairo Estrada,SFG,52,132,7,19,22,1,6.8%,17.4%,0.207,0.286,0.273,0.333,0.479,0.346,0.310,119,1.3,4.5,-0.3,0.9,16426
Nico Hoerner,CHC,44,170,0,13,16,5,10.0%,14.7%,0.067,0.360,0.302,0.382,0.369,0.330,0.317,104,-0.7,0.2,2.7,0.8,21479
Matt Beaty,LAD,120,234,7,35,40,2,8.5%,18.8%,0.132,0.314,0.270,0.363,0.402,0.339,0.306,114,0.4,4.7,-4.3,0.8,17710
Michael Conforto,NYM,125,479,14,52,55,1,12.3%,21.7%,0.153,0.276,0.232,0.344,0.384,0.322,0.350,106,-1.4,2.4,-10.1,0.8,16376
Bryan De La Cruz,MIA,58,219,5,17,19,1,8.2%,24.2%,0.131,0.380,0.296,0.356,0.427,0.339,0.300,115,-1.3,3.0,-2.4,0.8,19600
Austin Barnes,LAD,77,225,6,28,23,1,8.9%,24.9%,0.130,0.268,0.215,0.299,0.345,0.285,0.275,79,0.0,-6.0,6.3,0.8,12158
Andres Gimenez,CLE,68,210,5,23,16,11,5.2%,25.7%,0.133,0.273,0.218,0.282,0.351,0.277,0.263,73,2.6,-4.2,4.7,0.8,19950
Corey Dickerson,- - -,109,365,6,43,29,6,6.8%,18.6%,0.137,0.323,0.271,0.326,0.408,0.317,0.300,100,-1.3,-1.4,-3.2,0.8,10762
Kevin Pillar,NYM,124,347,15,40,47,4,3.2%,23.3%,0.185,0.261,0.231,0.277,0.415,0.297,0.277,90,0.7,-3.6,-0.8,0.7,12434
Bobby Dalbec,BOS,133,453,25,50,78,2,6.2%,34.4%,0.254,0.316,0.240,0.298,0.494,0.334,0.340,107,-0.4,3.7,-12.3,0.7,19966
Alejandro Kirk,TOR,60,189,8,19,24,0,10.1%,11.6%,0.194,0.234,0.242,0.328,0.436,0.330,0.371,106,-1.7,-0.4,0.4,0.7,22581
Trey Mancini,BAL,147,616,21,77,71,0,8.3%,23.2%,0.176,0.308,0.255,0.326,0.432,0.326,0.339,105,-5.3,-1.8,-12.7,0.7,15149
Anthony Santander,BAL,110,438,18,54,50,1,5.3%,23.1%,0.192,0.275,0.241,0.286,0.433,0.307,0.326,92,1.2,-3.3,-5.0,0.7,14551
Anthony Rendon,LAA,58,249,6,24,34,0,11.6%,16.5%,0.143,0.267,0.240,0.329,0.382,0.310,0.306,95,-1.1,-2.5,0.6,0.7,12861
Jorge Alfaro,MIA,92,311,4,22,30,8,3.5%,31.8%,0.098,0.354,0.244,0.283,0.342,0.274,0.288,73,0.0,-10.6,6.7,0.6,12180
Rougned Odor,NYY,102,361,15,42,39,0,7.5%,27.7%,0.177,0.242,0.202,0.286,0.379,0.289,0.284,83,1.6,-6.1,0.2,0.6,12282
Ryan Jeffers,MIN,85,293,14,28,35,0,7.5%,36.9%,0.202,0.269,0.199,0.270,0.401,0.289,0.300,82,-2.3,-8.9,5.3,0.6,24618
Ronald Torreyes,PHI,112,344,7,30,41,2,5.5%,11.9%,0.104,0.258,0.242,0.286,0.346,0.274,0.257,68,1.3,-12.7,7.7,0.6,11400
Jose Trevino,TEX,89,302,5,23,30,1,4.0%,18.9%,0.102,0.279,0.239,0.267,0.340,0.261,0.284,64,-5.5,-18.9,15.0,0.6,16725
Tres Barrera,WSN,30,107,2,8,10,0,11.2%,20.6%,0.121,0.328,0.264,0.374,0.385,0.333,0.311,106,0.1,0.9,1.8,0.6,19977
Jesus Sanchez,MIA,64,251,14,27,36,0,8.0%,31.1%,0.238,0.316,0.251,0.319,0.489,0.339,0.332,116,-2.9,2.1,-4.2,0.6,19913
Adalberto Mondesi,KCR,35,136,6,19,17,15,4.4%,31.6%,0.222,0.299,0.230,0.271,0.452,0.306,0.312,91,2.5,1.0,0.3,0.6,13769
Ha-seong Kim,SDP,117,298,8,27,34,6,7.4%,23.8%,0.150,0.241,0.202,0.270,0.352,0.270,0.264,70,1.4,-9.9,6.0,0.6,27506
Travis d'Arnaud,ATL,60,229,7,21,26,0,7.4%,23.1%,0.167,0.260,0.220,0.284,0.388,0.291,0.310,78,-1.1,-7.5,5.8,0.6,7739
Lars Nootbaar,STL,58,124,5,15,15,2,10.5%,22.6%,0.183,0.273,0.239,0.317,0.422,0.316,0.274,101,1.4,1.5,0.3,0.6,21454
Kyle Higashioka,NYY,67,211,10,20,29,0,8.1%,28.0%,0.207,0.200,0.181,0.246,0.389,0.272,0.335,71,-1.7,-9.2,7.9,0.6,5517
Jack Mayfield,- - -,87,290,10,30,39,5,5.9%,23.4%,0.169,0.254,0.218,0.272,0.387,0.284,0.247,79,0.1,-7.5,3.4,0.6,15402
Hanser Alberto,KCR,103,255,2,25,24,3,1.6%,10.2%,0.133,0.293,0.270,0.291,0.402,0.296,0.291,84,1.4,-3.4,0.4,0.6,11902
Charlie Culberson,TEX,91,271,5,23,22,7,6.3%,23.6%,0.138,0.307,0.243,0.296,0.381,0.292,0.269,85,1.9,-3.2,-0.4,0.6,3298
Oscar Mercado,CLE,72,238,6,27,19,7,8.8%,17.6%,0.145,0.253,0.224,0.300,0.369,0.294,0.275,84,2.7,-1.8,-0.7,0.6,16375
Joc Pederson,- - -,137,481,18,55,61,2,8.1%,24.3%,0.184,0.281,0.238,0.310,0.422,0.315,0.329,94,-1.4,-4.9,-5.5,0.6,11899
Eugenio Suarez,CIN,145,574,31,71,79,0,9.8%,29.8%,0.230,0.224,0.198,0.286,0.428,0.306,0.324,85,-4.1,-15.0,1.6,0.6,12552
Guillermo Heredia,ATL,120,347,5,46,26,0,9.2%,23.3%,0.134,0.282,0.220,0.311,0.354,0.292,0.290,79,3.1,-6.3,0.3,0.6,18721
Nick Maton,PHI,52,131,2,16,14,2,7.6%,29.8%,0.128,0.364,0.256,0.323,0.385,0.309,0.280,91,1.6,0.1,1.1,0.5,21635
Jordan Luplow,- - -,62,193,11,23,28,1,14.5%,29.5%,0.252,0.232,0.202,0.326,0.454,0.337,0.313,116,-1.8,2.0,-3.1,0.5,16424
Yonathan Daza,COL,107,331,2,26,30,2,6.3%,18.1%,0.073,0.346,0.282,0.332,0.355,0.304,0.289,75,-0.3,-10.7,5.2,0.5,15794
Harold Castro,DET,106,339,3,35,37,1,4.1%,21.2%,0.076,0.351,0.283,0.310,0.359,0.291,0.314,83,-0.5,-7.8,1.7,0.5,14691
Lane Thomas,- - -,77,264,7,35,28,6,14.0%,23.9%,0.177,0.293,0.235,0.341,0.412,0.328,0.318,103,-0.7,0.4,-3.8,0.5,16939
Kevin Plawecki,BOS,64,173,3,15,15,0,6.9%,15.0%,0.102,0.328,0.287,0.349,0.389,0.325,0.328,102,-0.9,-0.5,0.0,0.5,13807
Taylor Ward,LAA,65,237,8,33,33,1,8.4%,23.2%,0.188,0.301,0.250,0.332,0.438,0.333,0.343,111,-0.4,2.8,-5.5,0.5,17548
Yonny Hernandez,TEX,43,166,0,15,6,11,10.2%,19.3%,0.035,0.277,0.217,0.315,0.252,0.265,0.288,66,2.1,-4.8,4.4,0.5,19432
Sam Hilliard,COL,81,238,14,32,34,5,9.7%,36.6%,0.248,0.283,0.215,0.294,0.463,0.318,0.306,85,2.5,-2.1,-0.5,0.5,17954
Dom Nunez,COL,81,263,10,31,33,0,12.9%,34.6%,0.211,0.258,0.189,0.293,0.399,0.294,0.259,69,1.8,-8.4,4.9,0.5,15055
Christian Vazquez,BOS,138,498,6,51,49,8,6.6%,16.9%,0.094,0.301,0.258,0.308,0.352,0.289,0.276,77,-5.3,-19.2,7.2,0.5,9774
Jorge Mateo,- - -,89,209,4,19,14,10,4.3%,26.3%,0.129,0.324,0.247,0.293,0.376,0.291,0.284,83,1.9,-2.8,0.6,0.5,17273
Garrett Hampson,COL,147,494,11,69,33,17,6.7%,23.9%,0.146,0.291,0.234,0.289,0.380,0.288,0.288,65,4.2,-17.6,6.1,0.5,19262
Curt Casali,SFG,77,231,5,20,26,0,11.3%,28.6%,0.140,0.287,0.210,0.313,0.350,0.289,0.279,82,-0.2,-5.4,2.5,0.5,12510
James McCann,NYM,121,412,10,29,46,1,7.8%,27.9%,0.117,0.304,0.232,0.294,0.349,0.281,0.282,80,-3.4,-13.8,4.9,0.5,12859
Cam Gallagher,KCR,48,124,1,9,7,0,6.5%,16.1%,0.080,0.293,0.250,0.298,0.330,0.276,0.275,71,0.0,-4.4,4.9,0.5,12981
Jake Fraley,SEA,78,265,9,27,36,10,17.4%,26.8%,0.159,0.265,0.210,0.352,0.369,0.322,0.335,109,0.9,3.7,-8.0,0.5,19260
Robinson Chirinos,CHC,45,112,5,13,15,0,8.0%,32.1%,0.227,0.304,0.227,0.324,0.454,0.336,0.286,108,-1.2,0.0,0.9,0.5,3142
Wilmer Difo,PIT,116,240,4,25,24,1,8.3%,22.5%,0.114,0.340,0.269,0.329,0.384,0.312,0.275,95,1.4,-0.3,-3.0,0.5,14320
Jeff McNeil,NYM,120,426,7,48,35,3,6.8%,13.6%,0.109,0.276,0.249,0.317,0.358,0.298,0.311,91,-1.1,-5.8,-3.6,0.5,15362
Tommy La Stella,SFG,76,242,7,26,27,0,7.4%,10.7%,0.155,0.255,0.250,0.308,0.405,0.307,0.339,94,-1.1,-3.0,-0.4,0.5,12371
Taylor Walls,TBR,54,176,1,15,15,4,13.1%,27.8%,0.086,0.304,0.211,0.314,0.296,0.279,0.282,80,0.0,-4.3,2.9,0.5,22458
Luke Voit,NYY,68,241,11,26,35,0,8.7%,30.7%,0.197,0.313,0.239,0.328,0.437,0.332,0.357,111,-2.9,0.4,-4.2,0.4,14811
Yu Chang,CLE,89,251,9,32,39,1,4.4%,27.5%,0.198,0.281,0.228,0.267,0.426,0.294,0.280,85,1.5,-3.2,-0.9,0.4,14773
Miguel Sano,MIN,135,532,30,68,75,2,11.1%,34.4%,0.243,0.291,0.223,0.312,0.466,0.332,0.320,110,-2.2,4.4,-18.1,0.4,12164
Randal Grichuk,TOR,149,545,22,59,81,0,5.0%,20.9%,0.182,0.266,0.241,0.281,0.423,0.300,0.291,85,-4.9,-14.7,0.6,0.4,10243
Raimel Tapia,COL,133,533,6,69,50,20,7.5%,13.1%,0.099,0.306,0.273,0.327,0.372,0.305,0.278,76,3.7,-12.5,-0.9,0.4,14350
Gavin Sheets,CHW,54,179,11,23,34,0,8.9%,22.3%,0.256,0.264,0.250,0.324,0.506,0.352,0.335,125,-1.9,3.5,-5.4,0.4,19901
Luis Guillorme,NYM,69,156,1,13,5,0,14.7%,14.7%,0.045,0.315,0.265,0.374,0.311,0.311,0.303,99,-0.7,-0.9,-0.2,0.4,16451
Starlin Castro,WSN,87,346,3,25,38,0,7.5%,17.9%,0.092,0.339,0.283,0.333,0.375,0.309,0.323,90,-2.1,-6.5,-0.9,0.4,4579
Chad Pinder,OAK,75,233,6,30,27,1,6.9%,26.6%,0.168,0.313,0.243,0.300,0.411,0.307,0.350,97,-0.6,-1.3,-2.6,0.4,15191
D.J. Stewart,BAL,100,318,12,39,33,0,13.8%,28.0%,0.170,0.254,0.204,0.324,0.374,0.310,0.315,94,1.7,-0.8,-6.1,0.4,17766
Ryan Zimmerman,WSN,110,273,14,27,46,0,5.9%,28.2%,0.227,0.289,0.243,0.286,0.471,0.319,0.299,97,-1.8,-2.8,-2.4,0.4,4220
Travis Jankowski,PHI,76,157,1,24,10,5,14.0%,18.5%,0.099,0.317,0.252,0.364,0.351,0.312,0.282,93,0.7,-0.8,-0.9,0.4,13768
Justin Upton,LAA,89,362,17,47,41,4,10.8%,29.6%,0.198,0.254,0.211,0.296,0.409,0.305,0.317,92,0.9,-2.7,-6.2,0.3,5222
David Fletcher,LAA,157,665,2,74,47,15,4.7%,9.0%,0.062,0.287,0.262,0.297,0.324,0.273,0.279,70,3.3,-20.9,1.6,0.3,17992
Kevin Newman,PIT,148,554,5,50,39,6,4.9%,7.4%,0.083,0.236,0.226,0.265,0.309,0.249,0.277,54,5.1,-27.4,12.4,0.3,17696
Kyle Lewis,SEA,36,147,5,15,11,2,10.9%,25.2%,0.146,0.307,0.246,0.333,0.392,0.320,0.350,107,-0.4,0.8,-2.5,0.3,19508
Bobby Bradley,CLE,74,279,16,36,41,0,9.0%,35.5%,0.237,0.263,0.208,0.294,0.445,0.314,0.328,99,-2.0,-2.5,-3.8,0.3,17278
Billy Hamilton,CHW,71,135,2,23,11,9,3.0%,34.8%,0.157,0.329,0.220,0.242,0.378,0.262,0.215,64,2.9,-3.0,1.6,0.3,10199
Ernie Clement,CLE,40,133,3,16,9,0,5.3%,14.3%,0.107,0.253,0.231,0.285,0.339,0.275,0.289,72,0.7,-3.9,2.5,0.3,20352
Billy McKinney,- - -,116,300,9,32,27,2,10.7%,26.3%,0.166,0.235,0.192,0.280,0.358,0.277,0.289,73,0.2,-9.9,3.1,0.3,15654
Pavin Smith,ARI,145,545,11,68,49,1,7.7%,19.4%,0.137,0.319,0.267,0.328,0.404,0.318,0.316,96,-2.4,-5.2,-9.7,0.3,19892
Andrew Vaughn,CHW,127,469,15,56,48,1,8.7%,21.5%,0.161,0.271,0.235,0.309,0.396,0.306,0.329,94,-3.6,-7.0,-5.9,0.3,26197
Christian Walker,ARI,115,445,10,55,46,0,8.5%,23.8%,0.137,0.307,0.244,0.315,0.382,0.304,0.312,87,1.1,-6.4,-5.2,0.3,13419
Sergio Alcantara,CHC,89,255,5,30,17,3,11.8%,29.0%,0.123,0.280,0.205,0.303,0.327,0.279,0.273,71,0.7,-8.7,3.2,0.3,16417
Derek Hill,DET,49,150,3,19,14,6,6.7%,28.0%,0.129,0.351,0.259,0.313,0.388,0.305,0.286,92,0.3,-1.1,-1.2,0.3,16947
Jason Heyward,CHC,104,353,8,35,30,5,7.6%,19.3%,0.133,0.247,0.214,0.280,0.347,0.275,0.290,68,1.8,-12.4,3.4,0.3,4940
Luis Torrens,SEA,108,378,15,39,47,0,7.4%,26.2%,0.188,0.294,0.243,0.299,0.431,0.311,0.313,101,-1.2,-0.7,-9.5,0.3,15905
Victor Reyes,DET,76,220,5,26,22,5,3.6%,25.0%,0.158,0.327,0.258,0.284,0.416,0.298,0.294,88,1.7,-1.6,-3.2,0.3,15487
DJ Peters,- - -,70,240,13,29,38,2,5.0%,34.2%,0.224,0.237,0.197,0.242,0.422,0.272,0.267,71,0.5,-7.9,2.4,0.3,19348
Alex Kirilloff,MIN,59,231,8,23,34,1,6.1%,22.5%,0.172,0.295,0.251,0.299,0.423,0.307,0.365,93,-0.2,-2.1,-3.2,0.3,20325
Jon Berti,MIA,85,271,4,35,19,8,11.8%,22.5%,0.103,0.265,0.210,0.311,0.313,0.282,0.301,79,2.8,-4.6,-1.9,0.2,12037
Ehire Adrianza,ATL,109,209,5,32,28,0,10.0%,20.1%,0.154,0.290,0.247,0.327,0.401,0.316,0.310,94,0.2,-1.3,-3.2,0.2,8418
Eloy Jimenez,CHW,55,231,10,23,37,0,6.9%,24.7%,0.188,0.293,0.249,0.303,0.437,0.317,0.320,101,-1.6,-1.2,-4.2,0.2,17484
Kyle Garlick,MIN,36,107,5,17,10,1,5.6%,29.9%,0.232,0.286,0.232,0.280,0.465,0.314,0.340,99,-0.3,-0.5,-0.8,0.2,18063
Jose Peraza,NYM,64,154,6,21,20,1,5.8%,16.9%,0.176,0.209,0.204,0.266,0.380,0.280,0.269,79,-0.1,-4.1,1.3,0.2,13593
Dylan Moore,SEA,126,377,12,42,43,21,10.6%,29.4%,0.154,0.229,0.181,0.276,0.334,0.271,0.286,74,1.6,-10.4,-0.4,0.2,18042
Martin Maldonado,HOU,125,426,12,40,36,0,11.0%,29.8%,0.129,0.221,0.172,0.272,0.300,0.258,0.271,63,-5.0,-24.4,11.9,0.2,6887
Yadiel Hernandez,WSN,112,289,9,33,32,3,7.6%,20.4%,0.140,0.318,0.273,0.329,0.413,0.320,0.301,98,-1.7,-2.5,-5.1,0.2,19334
Trevor Larnach,MIN,79,301,7,29,28,1,10.3%,34.6%,0.127,0.338,0.223,0.322,0.350,0.300,0.304,89,-1.4,-5.4,-3.0,0.2,21501
Alex Avila,WSN,34,111,1,5,9,0,17.1%,33.3%,0.157,0.314,0.191,0.345,0.348,0.311,0.298,92,-1.3,-2.5,0.6,0.2,7476
Danny Mendick,CHW,71,186,2,14,20,0,9.7%,22.6%,0.067,0.281,0.220,0.303,0.287,0.268,0.259,68,0.9,-6.3,1.8,0.2,18889
Alex Dickerson,SFG,111,312,13,37,38,1,7.4%,24.4%,0.187,0.273,0.233,0.304,0.420,0.313,0.333,97,-0.5,-1.6,-7.1,0.2,12649
Brian Goodwin,CHW,72,271,8,33,29,1,12.2%,21.4%,0.153,0.259,0.221,0.319,0.374,0.306,0.327,94,0.2,-1.9,-5.7,0.2,12858
Yoshi Tsutsugo,- - -,81,262,8,27,32,0,11.1%,27.5%,0.165,0.278,0.217,0.307,0.383,0.302,0.280,90,-0.6,-3.7,-3.4,0.2,27459
Max Schrock,CIN,53,134,3,19,14,1,6.0%,17.9%,0.160,0.333,0.288,0.328,0.448,0.329,0.293,100,-0.3,-0.3,-2.5,0.2,17750
Anthony Alford,PIT,49,148,5,14,11,5,8.1%,39.2%,0.173,0.371,0.233,0.311,0.406,0.310,0.286,93,-1.1,-2.4,-1.1,0.1,14329
Stephen Vogt,- - -,78,238,7,24,25,0,10.9%,23.5%,0.138,0.230,0.195,0.283,0.333,0.270,0.289,64,0.3,-10.5,3.8,0.1,5000
Nick Gordon,MIN,73,216,4,19,23,10,5.6%,25.5%,0.115,0.310,0.240,0.292,0.355,0.283,0.313,77,0.6,-5.4,-0.7,0.1,16337
Jake Lamb,- - -,55,170,7,25,19,0,12.9%,30.0%,0.174,0.239,0.194,0.306,0.368,0.298,0.314,87,-0.2,-2.9,-1.7,0.1,13329
Jo Adell,LAA,35,140,4,17,26,2,5.7%,22.9%,0.162,0.298,0.246,0.295,0.408,0.303,0.310,90,-0.3,-2.0,-1.7,0.1,20220
Phil Gosselin,LAA,104,373,7,40,47,4,6.4%,21.7%,0.101,0.322,0.261,0.314,0.362,0.297,0.284,87,1.2,-4.9,-6.6,0.1,10953
Seby Zavala,CHW,37,104,5,15,15,0,5.8%,39.4%,0.194,0.255,0.183,0.240,0.376,0.265,0.211,66,0.4,-3.8,1.4,0.1,18887
